"Sr.No.","CUSTODIAN_CODE","ORGANISATION_NAME","CHK_DESC","FAIL_COUNT","category","Date"
"4178",9079,"West Lothian","Commercial classification - not recorded to tertiary level",1137,"Classifications","2022-09-01"
"4236",9055,"Scottish Borders","Contradictory combination of open classifications (Land and Commercial)",98,"Classifications","2022-09-01"
"2104",9070,"Midlothian","Flat but classification not RD06 (checks pao)",2,"Classifications","2022-09-01"
"4262",9055,"Scottish Borders","Flat but classification not RD06 (checks pao)",21,"Classifications","2022-09-01"
"5228",9057,"West Dunbartonshire","Flat but classification not RD06 (checks pao)",27,"Classifications","2022-09-01"
"4543",9054,"Argyll and Bute","Flat but classification not RD06 (checks sao)",3,"Classifications","2022-09-01"
"3513",9064,"City of Edinburgh","Flat but classification not RD06 (checks sao)",66433,"Classifications","2022-09-01"
"4707",9061,"East Dunbartonshire","Flat but classification not RD06 (checks sao)",7,"Classifications","2022-09-01"
"4331",9066,"Fife","Flat but classification not RD06 (checks sao)",609,"Classifications","2022-09-01"
"3110",9067,"Glasgow City","Flat but classification not RD06 (checks sao)",125,"Classifications","2022-09-01"
"2105",9070,"Midlothian","Flat but classification not RD06 (checks sao)",101,"Classifications","2022-09-01"
"5336",9052,"Aberdeenshire","Land record - but classification not 'L'",32,"Classifications","2022-09-01"
"4506",9054,"Argyll and Bute","Land record - but classification not 'L'",49,"Classifications","2022-09-01"
"3473",9064,"City of Edinburgh","Land record - but classification not 'L'",1,"Classifications","2022-09-01"
"3984",9059,"Dundee City","Land record - but classification not 'L'",20,"Classifications","2022-09-01"
"4665",9061,"East Dunbartonshire","Land record - but classification not 'L'",4,"Classifications","2022-09-01"
"4718",9062,"East Lothian","Land record - but classification not 'L'",4,"Classifications","2022-09-01"
"2327",9065,"Falkirk","Land record - but classification not 'L'",30,"Classifications","2022-09-01"
"4270",9066,"Fife","Land record - but classification not 'L'",14,"Classifications","2022-09-01"
"2070",9070,"Midlothian","Land record - but classification not 'L'",595,"Classifications","2022-09-01"
"4220",9055,"Scottish Borders","Land record - but classification not 'L'",1152,"Classifications","2022-09-01"
"5089",9076,"South Ayrshire","Land record - but classification not 'L'",2,"Classifications","2022-09-01"
"3277",9078,"Stirling","Land record - but classification not 'L'",3,"Classifications","2022-09-01"
"5195",9057,"West Dunbartonshire","Land record - but classification not 'L'",23,"Classifications","2022-09-01"
"5390",9052,"Aberdeenshire","Residential classification - not recorded to tertiary level",7742,"Classifications","2022-09-01"
"2585",9053,"Angus","Residential classification - not recorded to tertiary level",5176,"Classifications","2022-09-01"
"3503",9064,"City of Edinburgh","Residential classification - not recorded to tertiary level",168466,"Classifications","2022-09-01"
"4639",9058,"Dumfries and Galloway","Residential classification - not recorded to tertiary level",4226,"Classifications","2022-09-01"
"3050",9060,"East Ayrshire","Residential classification - not recorded to tertiary level",80,"Classifications","2022-09-01"
"4702",9061,"East Dunbartonshire","Residential classification - not recorded to tertiary level",83,"Classifications","2022-09-01"
"4756",9062,"East Lothian","Residential classification - not recorded to tertiary level",7816,"Classifications","2022-09-01"
"4854",9020,"Eilean Siar","Residential classification - not recorded to tertiary level",1790,"Classifications","2022-09-01"
"2357",9065,"Falkirk","Residential classification - not recorded to tertiary level",10742,"Classifications","2022-09-01"
"4289",9066,"Fife","Residential classification - not recorded to tertiary level",36407,"Classifications","2022-09-01"
"3108",9067,"Glasgow City","Residential classification - not recorded to tertiary level",2459,"Classifications","2022-09-01"
"4892",9068,"Highland","Residential classification - not recorded to tertiary level",18167,"Classifications","2022-09-01"
"4457",9069,"Inverclyde","Residential classification - not recorded to tertiary level",3368,"Classifications","2022-09-01"
"2100",9070,"Midlothian","Residential classification - not recorded to tertiary level",6436,"Classifications","2022-09-01"
"4960",9071,"Moray","Residential classification - not recorded to tertiary level",20,"Classifications","2022-09-01"
"5024",9072,"North Ayrshire","Residential classification - not recorded to tertiary level",7672,"Classifications","2022-09-01"
"5617",9073,"North Lanarkshire","Residential classification - not recorded to tertiary level",14867,"Classifications","2022-09-01"
"1935",9000,"Orkney","Residential classification - not recorded to tertiary level",1299,"Classifications","2022-09-01"
"4253",9055,"Scottish Borders","Residential classification - not recorded to tertiary level",10859,"Classifications","2022-09-01"
"5070",9010,"Shetland","Residential classification - not recorded to tertiary level",1961,"Classifications","2022-09-01"
"5119",9076,"South Ayrshire","Residential classification - not recorded to tertiary level",6533,"Classifications","2022-09-01"
"5172",9077,"South Lanarkshire","Residential classification - not recorded to tertiary level",1,"Classifications","2022-09-01"
"5224",9057,"West Dunbartonshire","Residential classification - not recorded to tertiary level",13756,"Classifications","2022-09-01"
"5361",9052,"Aberdeenshire","Single residential classification held (RD02-06) - and organisation provided (if multi-function, requires multiple classifications)",1,"Classifications","2022-09-01"
"2556",9053,"Angus","Single residential classification held (RD02-06) - and organisation provided (if multi-function, requires multiple classifications)",9,"Classifications","2022-09-01"
"4018",9059,"Dundee City","Single residential classification held (RD02-06) - and organisation provided (if multi-function, requires multiple classifications)",17,"Classifications","2022-09-01"
"4304",9066,"Fife","Single residential classification held (RD02-06) - and organisation provided (if multi-function, requires multiple classifications)",16,"Classifications","2022-09-01"
"4158",9079,"West Lothian","Single residential classification held (RD02-06) - and organisation provided (if multi-function, requires multiple classifications)",3,"Classifications","2022-09-01"
"5411",9052,"Aberdeenshire","All open (non trunk) roads shall have a Maintenance Responsibility record supplied by the local authority (mandatory on 1 Sept 2021)",4,"Streets","2022-09-01"
"2604",9053,"Angus","All open (non trunk) roads shall have a Maintenance Responsibility record supplied by the local authority (mandatory on 1 Sept 2021)",3,"Streets","2022-09-01"
"5413",9052,"Aberdeenshire","All open (non trunk) roads shall have a reinstatement category record supplied by the local authority (mandatory on 1 Sept 2021)",24,"Streets","2022-09-01"
"2606",9053,"Angus","All open (non trunk) roads shall have a reinstatement category record supplied by the local authority (mandatory on 1 Sept 2021)",3,"Streets","2022-09-01"
"4353",9066,"Fife","All open (non trunk) roads shall have a reinstatement category record supplied by the local authority (mandatory on 1 Sept 2021)",20,"Streets","2022-09-01"
"5295",9051,"Aberdeen City","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",2,"Streets","2022-09-01"
"2582",9053,"Angus","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",7,"Streets","2022-09-01"
"3499",9064,"City of Edinburgh","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",233,"Streets","2022-09-01"
"4590",9056,"Clackmannanshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",13,"Streets","2022-09-01"
"4043",9059,"Dundee City","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",1,"Streets","2022-09-01"
"3047",9060,"East Ayrshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",169,"Streets","2022-09-01"
"4744",9062,"East Lothian","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",158,"Streets","2022-09-01"
"4802",9063,"East Renfrewshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",34,"Streets","2022-09-01"
"4850",9020,"Eilean Siar","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",4,"Streets","2022-09-01"
"3104",9067,"Glasgow City","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",153,"Streets","2022-09-01"
"4911",9068,"Highland","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",41,"Streets","2022-09-01"
"5613",9073,"North Lanarkshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",7,"Streets","2022-09-01"
"4250",9055,"Scottish Borders","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",24,"Streets","2022-09-01"
"5061",9010,"Shetland","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",2,"Streets","2022-09-01"
"5115",9076,"South Ayrshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",5,"Streets","2022-09-01"
"5178",9077,"South Lanarkshire","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",89,"Streets","2022-09-01"
"3333",9078,"Stirling","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",4,"Streets","2022-09-01"
"4176",9079,"West Lothian","Closed Street with missing Street Only BLPU record and Logical Status does not equal 8",34,"Streets","2022-09-01"
"4554",9054,"Argyll and Bute","Same street in LSG has different USRN (with locality)",1,"Streets","2022-09-01"
"3515",9064,"City of Edinburgh","Same street in LSG has different USRN (with locality)",242,"Streets","2022-09-01"
"4602",9056,"Clackmannanshire","Same street in LSG has different USRN (with locality)",9,"Streets","2022-09-01"
"4654",9058,"Dumfries and Galloway","Same street in LSG has different USRN (with locality)",17,"Streets","2022-09-01"
"4709",9061,"East Dunbartonshire","Same street in LSG has different USRN (with locality)",8,"Streets","2022-09-01"
"4760",9062,"East Lothian","Same street in LSG has different USRN (with locality)",29,"Streets","2022-09-01"
"4805",9063,"East Renfrewshire","Same street in LSG has different USRN (with locality)",6,"Streets","2022-09-01"
"2362",9065,"Falkirk","Same street in LSG has different USRN (with locality)",39,"Streets","2022-09-01"
"3116",9067,"Glasgow City","Same street in LSG has different USRN (with locality)",45,"Streets","2022-09-01"
"4921",9068,"Highland","Same street in LSG has different USRN (with locality)",19,"Streets","2022-09-01"
"4971",9071,"Moray","Same street in LSG has different USRN (with locality)",11,"Streets","2022-09-01"
"5018",9072,"North Ayrshire","Same street in LSG has different USRN (with locality)",9,"Streets","2022-09-01"
"1936",9000,"Orkney","Same street in LSG has different USRN (with locality)",1,"Streets","2022-09-01"
"5183",9077,"South Lanarkshire","Same street in LSG has different USRN (with locality)",35,"Streets","2022-09-01"
"5241",9057,"West Dunbartonshire","Same street in LSG has different USRN (with locality)",3,"Streets","2022-09-01"
"4826",9020,"Eilean Siar","Town and street description are the same (within same record)",138,"Streets","2022-09-01"
"4276",9066,"Fife","Town and street description are the same (within same record)",1,"Streets","2022-09-01"
"4222",9055,"Scottish Borders","Town and street description are the same (within same record)",1,"Streets","2022-09-01"
"4278",9066,"Fife","Town is not blank for type 1 or 2 streets (closed streets)",2,"Streets","2022-09-01"
"4515",9054,"Argyll and Bute","TOWN must be Null where RECORD_TYPE is 3",1346,"Streets","2022-09-01"
"3482",9064,"City of Edinburgh","TOWN must be Null where RECORD_TYPE is 3",59,"Streets","2022-09-01"
"4621",9058,"Dumfries and Galloway","TOWN must be Null where RECORD_TYPE is 3",2095,"Streets","2022-09-01"
"4674",9061,"East Dunbartonshire","TOWN must be Null where RECORD_TYPE is 3",20,"Streets","2022-09-01"
"4723",9062,"East Lothian","TOWN must be Null where RECORD_TYPE is 3",85,"Streets","2022-09-01"
"4778",9063,"East Renfrewshire","TOWN must be Null where RECORD_TYPE is 3",42,"Streets","2022-09-01"
"4833",9020,"Eilean Siar","TOWN must be Null where RECORD_TYPE is 3",459,"Streets","2022-09-01"
"4283",9066,"Fife","TOWN must be Null where RECORD_TYPE is 3",307,"Streets","2022-09-01"
"4886",9068,"Highland","TOWN must be Null where RECORD_TYPE is 3",2936,"Streets","2022-09-01"
"1924",9000,"Orkney","TOWN must be Null where RECORD_TYPE is 3",717,"Streets","2022-09-01"
"3942",9075,"Renfrewshire","TOWN must be Null where RECORD_TYPE is 3",1,"Streets","2022-09-01"
"4229",9055,"Scottish Borders","TOWN must be Null where RECORD_TYPE is 3",2461,"Streets","2022-09-01"
"5045",9010,"Shetland","TOWN must be Null where RECORD_TYPE is 3",263,"Streets","2022-09-01"
"5150",9077,"South Lanarkshire","TOWN must be Null where RECORD_TYPE is 3",143,"Streets","2022-09-01"
"5204",9057,"West Dunbartonshire","TOWN must be Null where RECORD_TYPE is 3",14,"Streets","2022-09-01"
"4609",9058,"Dumfries and Galloway","Type 1 streets should not contain numbers unless part of official street name",19,"Streets","2022-09-01"
"4715",9062,"East Lothian","Type 1 streets should not contain numbers unless part of official street name",22,"Streets","2022-09-01"
"4819",9020,"Eilean Siar","Type 1 streets should not contain numbers unless part of official street name",8,"Streets","2022-09-01"
"2324",9065,"Falkirk","Type 1 streets should not contain numbers unless part of official street name",1,"Streets","2022-09-01"
"4271",9066,"Fife","Type 1 streets should not contain numbers unless part of official street name",2,"Streets","2022-09-01"
"1915",9000,"Orkney","Type 1 streets should not contain numbers unless part of official street name",5,"Streets","2022-09-01"
"5192",9057,"West Dunbartonshire","Type 1 streets should not contain numbers unless part of official street name",24,"Streets","2022-09-01"
"4127",9079,"West Lothian","Type 1 streets should not contain numbers unless part of official street name",9,"Streets","2022-09-01"
"3018",9060,"East Ayrshire","Locality and street description are the same (within same record)",2,"Streets","2022-09-01"
"4275",9066,"Fife","Locality and street description are the same (within same record)",22,"Streets","2022-09-01"
"5037",9010,"Shetland","Locality and street description are the same (within same record)",3,"Streets","2022-09-01"
"5143",9077,"South Lanarkshire","Locality and street description are the same (within same record)",4,"Streets","2022-09-01"
"3510",9064,"City of Edinburgh","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",2,"Streets","2022-09-01"
"4596",9056,"Clackmannanshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",27,"Streets","2022-09-01"
"4655",9058,"Dumfries and Galloway","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",8008,"Streets","2022-09-01"
"4698",9061,"East Dunbartonshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",1823,"Streets","2022-09-01"
"4754",9062,"East Lothian","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",4430,"Streets","2022-09-01"
"4806",9063,"East Renfrewshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",12,"Streets","2022-09-01"
"4862",9020,"Eilean Siar","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",11,"Streets","2022-09-01"
"2370",9065,"Falkirk","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",2882,"Streets","2022-09-01"
"4922",9068,"Highland","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",12131,"Streets","2022-09-01"
"5019",9072,"North Ayrshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",3650,"Streets","2022-09-01"
"5627",9073,"North Lanarkshire","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",3803,"Streets","2022-09-01"
"1957",9000,"Orkney","Open Street not linked to any open ESUs - Property loads (shall be mandatory Sept 2021)",10,"Streets","2022-09-01"
